# eps=0 u'(0)=0
0.126535 0.936901
0.127098 0.936622
0.127662 0.936342
0.128226 0.936062
0.12879 0.935783
0.129354 0.935503
0.129917 0.935224
0.130481 0.934945
0.131044 0.934665
0.131608 0.934386
0.132171 0.934107
0.132735 0.933827
0.133298 0.933548
0.133862 0.933269
0.134425 0.93299
0.134988 0.932711
0.135551 0.932432
0.136114 0.932153
0.136678 0.931874
0.137241 0.931595
0.137804 0.931316
0.138366 0.931037
0.138929 0.930759
0.139492 0.93048
0.140055 0.930201
0.140618 0.929923
0.14118 0.929644
0.141743 0.929365
0.142306 0.929087
0.142868 0.928809
0.143431 0.92853
0.143993 0.928252
0.144556 0.927974
0.145118 0.927695
0.14568 0.927417
0.146243 0.927139
0.146805 0.926861
0.147367 0.926583
0.147929 0.926305
0.148491 0.926027
0.149053 0.925749
0.149615 0.925471
0.150177 0.925193
0.150739 0.924916
0.151301 0.924638
0.151863 0.92436
0.152424 0.924083
0.152986 0.923805
0.153548 0.923527
0.154109 0.92325
0.154671 0.922973
0.155232 0.922695
0.155794 0.922418
0.156355 0.922141
0.156917 0.921863
0.157478 0.921586
0.158039 0.921309
0.1586 0.921032
0.159162 0.920755
0.159723 0.920478
0.160284 0.920201
0.160845 0.919924
0.161406 0.919647
0.161967 0.91937
0.162527 0.919094
0.163088 0.918817
0.163649 0.91854
0.16421 0.918264
0.16477 0.917987
0.165331 0.917711
0.165892 0.917434
0.166452 0.917158
0.167013 0.916881
0.167573 0.916605
0.168133 0.916329
0.168694 0.916053
0.169254 0.915776
0.169814 0.9155
0.170374 0.915224
0.170935 0.914948
0.171495 0.914672
0.172055 0.914396
0.172615 0.914121
0.173175 0.913845
0.173735 0.913569
0.174294 0.913293
0.174854 0.913018
0.175414 0.912742
0.175974 0.912467
0.176533 0.912191
0.177093 0.911916
0.177652 0.91164
0.178212 0.911365
0.178771 0.91109
0.179331 0.910814
0.17989 0.910539
0.180449 0.910264
0.181009 0.909989
0.181568 0.909714
0.182127 0.909439
0.182686 0.909164
0.183245 0.908889
0.183804 0.908614
0.184363 0.90834
0.184922 0.908065
0.185481 0.90779
0.18604 0.907516
0.186599 0.907241
0.187157 0.906967
0.187716 0.906692
0.188275 0.906418
0.188833 0.906143
0.189392 0.905869
0.18995 0.905595
0.190509 0.905321
0.191067 0.905047
0.191625 0.904773
0.192184 0.904499
0.192742 0.904225
0.1933 0.903951
0.193858 0.903677
0.194416 0.903403
0.194974 0.903129
0.195532 0.902856
0.19609 0.902582
0.196648 0.902308
0.197206 0.902035
0.197764 0.901761
0.198322 0.901488
0.198879 0.901215
0.199437 0.900941
0.199995 0.900668
0.200552 0.900395
0.20111 0.900122
0.201667 0.899849
0.202224 0.899576
0.202782 0.899303
0.203339 0.89903
0.203896 0.898757
0.204454 0.898484
0.205011 0.898211
0.205568 0.897938
0.206125 0.897666
0.206682 0.897393
0.207239 0.897121
0.207796 0.896848
0.208353 0.896576
0.20891 0.896303
0.209466 0.896031
0.210023 0.895759
0.21058 0.895487
0.211136 0.895214
0.211693 0.894942
0.212249 0.89467
0.212806 0.894398
0.213362 0.894126
0.213919 0.893855
0.214475 0.893583
0.215031 0.893311
