-1 0.353227 0.349841
-0.99 0.354636 0.353208
-0.98 0.354983 0.355135
-0.97 0.354228 0.355614
-0.96 0.352332 0.354642
-0.95 0.34926 0.352214
-0.94 0.34498 0.348332
-0.93 0.339463 0.342999
-0.92 0.332684 0.336219
-0.91 0.324621 0.328003
-0.9 0.315257 0.31836
-0.89 0.30458 0.307305
-0.88 0.292581 0.294855
-0.87 0.279256 0.281029
-0.86 0.264606 0.265849
-0.85 0.248636 0.249341
-0.84 0.231359 0.231533
-0.83 0.21279 0.212455
-0.82 0.192951 0.192143
-0.81 0.171868 0.170633
-0.8 0.149573 0.147967
-0.79 0.126104 0.124187
-0.78 0.101504 0.0993426
-0.77 0.0758208 0.0734827
-0.76 0.0491083 0.0466623
-0.75 0.0214251 0.0189391
-0.74 -0.00716481 -0.00962534
-0.73 -0.0365924 -0.038966
-0.72 -0.0667838 -0.0690139
-0.71 -0.0976604 -0.0996966
-0.7 -0.129139 -0.130938
-0.69 -0.161132 -0.162657
-0.68 -0.193549 -0.194772
-0.67 -0.226294 -0.227195
-0.66 -0.259268 -0.259834
-0.65 -0.292369 -0.292598
-0.64 -0.325492 -0.325388
-0.63 -0.35853 -0.358104
-0.62 -0.391374 -0.390645
-0.61 -0.423912 -0.422904
-0.6 -0.456032 -0.454775
-0.59 -0.487619 -0.48615
-0.58 -0.518561 -0.516916
-0.57 -0.548741 -0.546964
-0.56 -0.578048 -0.576181
-0.55 -0.606368 -0.604454
-0.54 -0.633588 -0.631672
-0.53 -0.659599 -0.657724
-0.52 -0.684293 -0.682499
-0.51 -0.707565 -0.70589
-0.5 -0.729313 -0.727792
-0.49 -0.749438 -0.748101
-0.48 -0.767846 -0.766718
-0.47 -0.784447 -0.783548
-0.46 -0.799156 -0.798501
-0.45 -0.811892 -0.811491
-0.44 -0.822582 -0.822438
-0.43 -0.831158 -0.831269
-0.42 -0.837558 -0.837915
-0.41 -0.841726 -0.842318
-0.4 -0.843616 -0.844425
-0.39 -0.843186 -0.84419
-0.38 -0.840405 -0.841577
-0.37 -0.835245 -0.836557
-0.36 -0.827692 -0.829113
-0.35 -0.817736 -0.819231
-0.34 -0.805376 -0.806913
-0.33 -0.790621 -0.792164
-0.32 -0.773486 -0.775002
-0.31 -0.753998 -0.755454
-0.3 -0.73219 -0.733554
-0.29 -0.708104 -0.709348
-0.28 -0.68179 -0.682889
-0.27 -0.653308 -0.65424
-0.26 -0.622724 -0.623471
-0.25 -0.590115 -0.590662
-0.24 -0.555561 -0.555901
-0.23 -0.519155 -0.519282
-0.22 -0.480993 -0.480907
-0.21 -0.441181 -0.440887
-0.2 -0.399829 -0.399336
-0.19 -0.357056 -0.356376
-0.18 -0.312983 -0.312133
-0.17 -0.26774 -0.266741
-0.16 -0.22146 -0.220335
-0.15 -0.17428 -0.173055
-0.14 -0.126344 -0.125045
-0.13 -0.077795 -0.0764519
-0.12 -0.0287821 -0.0274236
-0.11 0.0205447 0.0218894
-0.1 0.0700334 0.0713357
-0.09 0.119531 0.120763
-0.08 0.168883 0.17002
-0.07 0.217936 0.218955
-0.06 0.266538 0.267418
-0.05 0.314535 0.315259
-0.04 0.361778 0.362333
-0.03 0.40812 0.408494
-0.02 0.453415 0.453602
-0.01 0.497521 0.49752
7.5287e-16 0.540302 0.540113
0.01 0.581625 0.581254
0.02 0.621361 0.620818
0.03 0.659389 0.658686
0.04 0.695593 0.694746
0.05 0.729862 0.72889
0.06 0.762094 0.761018
0.07 0.792193 0.791037
0.08 0.82007 0.818859
0.09 0.845647 0.844406
0.1 0.86885 0.867605
0.11 0.889617 0.888395
0.12 0.907893 0.906718
0.13 0.923631 0.922528
0.14 0.936794 0.935786
0.15 0.947355 0.946463
0.16 0.955295 0.954537
0.17 0.960605 0.959996
0.18 0.963283 0.962836
0.19 0.963338 0.963062
0.2 0.960789 0.96069
0.21 0.955662 0.955741
0.22 0.947993 0.948249
0.23 0.937825 0.938252
0.24 0.92521 0.925801
0.25 0.910209 0.910952
0.26 0.89289 0.893769
0.27 0.873329 0.874327
0.28 0.851608 0.852705
0.29 0.827816 0.828991
0.3 0.80205 0.803279
0.31 0.77441 0.775668
0.32 0.745004 0.746266
0.33 0.713944 0.715184
0.34 0.681346 0.682539
0.35 0.647329 0.648453
0.36 0.61202 0.61305
0.37 0.575543 0.576458
0.38 0.538029 0.538811
0.39 0.499609 0.50024
0.4 0.460415 0.460883
0.41 0.420582 0.420875
0.42 0.380242 0.380354
