-1 0.353227 0.349841 0.408302 -14.2904 -0.518381
-0.99 0.354636 0.353208 0.264842 -14.397 -0.514864
-0.98 0.354983 0.355135 0.120455 -14.4758 -0.511321
-0.97 0.354228 0.355614 -0.0245822 -14.5271 -0.507766
-0.96 0.352332 0.354642 -0.169995 -14.551 -0.504214
-0.95 0.34926 0.352214 -0.315511 -14.5476 -0.500678
-0.94 0.34498 0.348332 -0.460857 -14.5171 -0.497174
-0.93 0.339463 0.342999 -0.605763 -14.4596 -0.493716
-0.92 0.332684 0.336219 -0.749958 -14.3749 -0.490319
-0.91 0.324621 0.328003 -0.89317 -14.263 -0.486997
-0.9 0.315257 0.31836 -1.03513 -14.1237 -0.483764
-0.89 0.30458 0.307305 -1.17555 -13.9567 -0.480634
-0.88 0.292581 0.294855 -1.31417 -13.7618 -0.477622
-0.87 0.279256 0.281029 -1.45069 -13.5385 -0.474742
-0.86 0.264606 0.265849 -1.58484 -13.2863 -0.472006
-0.85 0.248636 0.249341 -1.71632 -13.0047 -0.469429
-0.84 0.231359 0.231533 -1.84484 -12.6931 -0.467024
-0.83 0.21279 0.212455 -1.97008 -12.3507 -0.464803
-0.82 0.192951 0.192143 -2.09174 -11.9768 -0.462779
-0.81 0.171868 0.170633 -2.20951 -11.5708 -0.460964
-0.8 0.149573 0.147967 -2.32305 -11.1317 -0.45937
-0.79 0.126104 0.124187 -2.43203 -10.6589 -0.458008
-0.78 0.101504 0.0993426 -2.53611 -10.1516 -0.45689
-0.77 0.0758208 0.0734827 -2.63494 -9.60906 -0.456025
-0.76 0.0491083 0.0466623 -2.72817 -9.03074 -0.455423
-0.75 0.0214251 0.0189391 -2.81544 -8.41607 -0.455095
-0.74 -0.00716481 -0.00962534 -2.89637 -7.76463 -0.455047
-0.73 -0.0365924 -0.038966 -2.97061 -7.07615 -0.45529
-0.72 -0.0667838 -0.0690139 -3.03777 -6.35052 -0.455829
-0.71 -0.0976604 -0.0996966 -3.09749 -5.58781 -0.456672
-0.7 -0.129139 -0.130938 -3.14941 -4.78834 -0.457825
-0.69 -0.161132 -0.162657 -3.19314 -3.95263 -0.459293
-0.68 -0.193549 -0.194772 -3.22834 -3.08148 -0.461079
-0.67 -0.226294 -0.227195 -3.25466 -2.17597 -0.463189
-0.66 -0.259268 -0.259834 -3.27175 -1.23745 -0.465624
-0.65 -0.292369 -0.292598 -3.2793 -0.267608 -0.468386
-0.64 -0.325492 -0.325388 -3.277 0.731563 -0.471476
-0.63 -0.35853 -0.358104 -3.26458 1.75774 -0.474894
-0.62 -0.391374 -0.390645 -3.24177 2.80827 -0.478638
-0.61 -0.423912 -0.422904 -3.20834 3.88016 -0.482706
-0.6 -0.456032 -0.454775 -3.1641 4.97011 -0.487094
-0.59 -0.487619 -0.48615 -3.10889 6.07448 -0.491799
-0.58 -0.518561 -0.516916 -3.04258 7.18932 -0.496815
-0.57 -0.548741 -0.546964 -2.96508 8.31042 -0.502135
-0.56 -0.578048 -0.576181 -2.87637 9.43326 -0.507752
-0.55 -0.606368 -0.604454 -2.77643 10.5531 -0.513656
-0.54 -0.633588 -0.631672 -2.66533 11.665 -0.519837
-0.53 -0.659599 -0.657724 -2.54317 12.7638 -0.526285
-0.52 -0.684293 -0.682499 -2.41012 13.8441 -0.532988
-0.51 -0.707565 -0.70589 -2.26637 14.9007 -0.539931
-0.5 -0.729313 -0.727792 -2.1122 15.9279 -0.5471
-0.49 -0.749438 -0.748101 -1.94793 16.9204 -0.554481
-0.48 -0.767846 -0.766718 -1.77393 17.8725 -0.562057
-0.47 -0.784447 -0.783548 -1.59063 18.7789 -0.56981
-0.46 -0.799156 -0.798501 -1.39852 19.6343 -0.577721
-0.45 -0.811892 -0.811491 -1.19813 20.4334 -0.585773
-0.44 -0.822582 -0.822438 -0.990055 21.1713 -0.593944
-0.43 -0.831158 -0.831269 -0.774926 21.8432 -0.602215
-0.42 -0.837558 -0.837915 -0.553425 22.4448 -0.610563
-0.41 -0.841726 -0.842318 -0.326279 22.9717 -0.618966
-0.4 -0.843616 -0.844425 -0.0942519 23.4203 -0.627401
-0.39 -0.843186 -0.84419 0.141855 23.7872 -0.635846
-0.38 -0.840405 -0.841577 0.38121 24.0694 -0.644277
-0.37 -0.835245 -0.836557 0.622952 24.2643 -0.65267
-0.36 -0.827692 -0.829113 0.866198 24.3699 -0.661
-0.35 -0.817736 -0.819231 1.11005 24.3845 -0.669244
-0.34 -0.805376 -0.806913 1.35358 24.3071 -0.677377
-0.33 -0.790621 -0.792164 1.59588 24.1371 -0.685374
-0.32 -0.773486 -0.775002 1.83602 23.8744 -0.693212
-0.31 -0.753998 -0.755454 2.07306 23.5194 -0.700866
-0.3 -0.73219 -0.733554 2.3061 23.0729 -0.708313
-0.29 -0.708104 -0.709348 2.53422 22.5363 -0.71553
-0.28 -0.68179 -0.682889 2.75653 21.9116 -0.722493
-0.27 -0.653308 -0.65424 2.97216 21.2009 -0.72918
-0.26 -0.622724 -0.623471 3.18027 20.4069 -0.73557
-0.25 -0.590115 -0.590662 3.38004 19.5329 -0.741643
-0.24 -0.555561 -0.555901 3.57067 18.5823 -0.747377
-0.23 -0.519155 -0.519282 3.75144 17.5589 -0.752755
-0.22 -0.480993 -0.480907 3.92162 16.4669 -0.757757
-0.21 -0.441181 -0.440887 4.08056 15.3107 -0.762367
-0.2 -0.399829 -0.399336 4.22764 14.0951 -0.76657
-0.19 -0.357056 -0.356376 4.36228 12.8248 -0.770349
-0.18 -0.312983 -0.312133 4.48397 11.5051 -0.773693
-0.17 -0.26774 -0.266741 4.59224 10.1411 -0.776588
-0.16 -0.22146 -0.220335 4.68666 8.73824 -0.779024
-0.15 -0.17428 -0.173055 4.76689 7.30196 -0.780992
-0.14 -0.126344 -0.125045 4.83261 5.83779 -0.782483
-0.13 -0.077795 -0.0764519 4.88357 4.35129 -0.783491
-0.12 -0.0287821 -0.0274236 4.91958 2.84805 -0.78401
-0.11 0.0205447 0.0218894 4.9405 1.33363 -0.784038
-0.1 0.0700334 0.0713357 4.94623 -0.186435 -0.783572
-0.09 0.119531 0.120763 4.93677 -1.70664 -0.782612
-0.08 0.168883 0.17002 4.91212 -3.22158 -0.781158
-0.07 0.217936 0.218955 4.87237 -4.7259 -0.779212
-0.06 0.266538 0.267418 4.81765 -6.21435 -0.77678
-0.05 0.314535 0.315259 4.74815 -7.68179 -0.773866
-0.04 0.361778 0.362333 4.6641 -9.12321 -0.770477
-0.03 0.40812 0.408494 4.56579 -10.5337 -0.766622
-0.02 0.453415 0.453602 4.45355 -11.9085 -0.762311
-0.01 0.497521 0.49752 4.32776 -13.243 -0.757554
7.5287e-16 0.540302 0.540113 4.18884 -14.5328 -0.752365
0.01 0.581625 0.581254 4.03726 -15.7735 -0.746757
0.02 0.621361 0.620818 3.87355 -16.961 -0.740745
0.03 0.659389 0.658686 3.69823 -18.0914 -0.734346
0.04 0.695593 0.694746 3.51192 -19.1608 -0.727578
0.05 0.729862 0.72889 3.31523 -20.1658 -0.720458
0.06 0.762094 0.761018 3.10883 -21.1028 -0.713006
0.07 0.792193 0.791037 2.89341 -21.9688 -0.705244
0.08 0.82007 0.818859 2.6697 -22.7608 -0.697193
0.09 0.845647 0.844406 2.43845 -23.4761 -0.688875
0.1 0.86885 0.867605 2.20044 -24.1122 -0.680313
0.11 0.889617 0.888395 1.95648 -24.6668 -0.671531
0.12 0.907893 0.906718 1.70738 -25.138 -0.662553
0.13 0.923631 0.922528 1.454 -25.5242 -0.653405
0.14 0.936794 0.935786 1.19719 -25.8239 -0.644111
0.15 0.947355 0.946463 0.937816 -26.036 -0.634698
0.16 0.955295 0.954537 0.676763 -26.1598 -0.62519
0.17 0.960605 0.959996 0.414915 -26.1948 -0.615616
0.18 0.963283 0.962836 0.153163 -26.1408 -0.605999
0.19 0.963338 0.963062 -0.107606 -25.9981 -0.596368
0.2 0.960789 0.96069 -0.366506 -25.7673 -0.586747
0.21 0.955662 0.955741 -0.62266 -25.4491 -0.577162
0.22 0.947993 0.948249 -0.875202 -25.045 -0.56764
0.23 0.937825 0.938252 -1.12328 -24.5565 -0.558206
0.24 0.92521 0.925801 -1.36606 -23.9856 -0.548883
0.25 0.910209 0.910952 -1.60272 -23.3346 -0.539698
0.26 0.89289 0.893769 -1.83249 -22.6062 -0.530672
0.27 0.873329 0.874327 -2.0546 -21.8034 -0.52183
0.28 0.851608 0.852705 -2.26832 -20.9296 -0.513193
0.29 0.827816 0.828991 -2.47297 -19.9884 -0.504783
0.3 0.80205 0.803279 -2.66788 -18.9839 -0.49662
0.31 0.77441 0.775668 -2.85245 -17.9202 -0.488723
0.32 0.745004 0.746266 -3.0261 -16.802 -0.481112
0.33 0.713944 0.715184 -3.18832 -15.6339 -0.473804
0.34 0.681346 0.682539 -3.33863 -14.4211 -0.466814
0.35 0.647329 0.648453 -3.47661 -13.1687 -0.460158
0.36 0.61202 0.61305 -3.60189 -11.882 -0.453849
0.37 0.575543 0.576458 -3.71415 -10.5667 -0.447901
0.38 0.538029 0.538811 -3.81314 -9.22826 -0.442324
0.39 0.499609 0.50024 -3.89866 -7.87248 -0.437128
0.4 0.460415 0.460883 -3.97056 -6.50511 -0.432321
0.41 0.420582 0.420875 -4.02874 -5.13193 -0.427912
0.42 0.380242 0.380354 -4.07319 -3.75871 -0.423906
0.43 0.33953 0.339457 -4.10394 -2.39119 -0.420306
0.44 0.298578 0.298321 -4.12106 -1.03501 -0.417117
0.45 0.25752 0.257081 -4.12469 0.304277 -0.41434
0.46 0.216484 0.215871 -4.11504 1.62126 -0.411976
0.47 0.175599 0.174823 -4.09236 2.91071 -0.410022
0.48 0.134991 0.134066 -4.05694 4.16758 -0.408478
0.49 0.0947814 0.0937257 -4.00913 5.38704 -0.40734
0.5 0.0550902 0.0539235 -3.94934 6.56452 -0.406602
0.51 0.0160323 0.0147774 -3.878 7.69573 -0.406259
0.52 -0.0222814 -0.0235995 -3.79559 8.77665 -0.406304
0.53 -0.0597445 -0.0610993 -3.70264 9.8036 -0.406728
0.54 -0.0962555 -0.0976191 -3.59971 10.7732 -0.407522
0.55 -0.131718 -0.133062 -3.48738 11.6825 -0.408677
0.56 -0.166042 -0.167337 -3.36627 12.5288 -0.41018
0.57 -0.199141 -0.20036 -3.23702 13.3098 -0.412019
0.58 -0.230938 -0.232053 -3.1003 14.0236 -0.414183
0.59 -0.261358 -0.262344 -2.95678 14.6687 -0.416656
0.6 -0.290336 -0.291168 -2.80716 15.2441 -0.419425
0.61 -0.317811 -0.318469 -2.65213 15.7489 -0.422474
0.62 -0.343729 -0.344195 -2.49242 16.1828 -0.425789
0.63 -0.368044 -0.368304 -2.32871 16.546 -0.429353
0.64 -0.390715 -0.390759 -2.16173 16.8386 -0.433149
0.65 -0.411709 -0.41153 -1.99217 17.0617 -0.437162
0.66 -0.430998 -0.430596 -1.82073 17.2163 -0.441374
0.67 -0.448563 -0.44794 -1.64807 17.304 -0.445768
0.68 -0.464389 -0.463555 -1.47486 17.3265 -0.450327
0.69 -0.478469 -0.477438 -1.30175 17.286 -0.455034
0.7 -0.490802 -0.489593 -1.12934 17.1849 -0.45987
0.71 -0.501393 -0.500029 -0.958243 17.026 -0.46482
0.72 -0.510254 -0.508764 -0.789008 16.8121 -0.469865
0.73 -0.517401 -0.515817 -0.622173 16.5465 -0.474989
0.74 -0.522858 -0.521217 -0.458239 16.2325 -0.480176
0.75 -0.526652 -0.524993 -0.297672 15.8737 -0.485408
0.76 -0.528816 -0.527183 -0.140902 15.4738 -0.49067
0.77 -0.52939 -0.527825 0.0116789 15.0365 -0.495947
0.78 -0.528416 -0.526965 0.159717 14.5659 -0.501222
0.79 -0.52594 -0.524647 0.302898 14.0657 -0.506481
