2 -0.123322
2.5 -0.333191
3 -0.42239
3.5 -0.462904
4 -0.481898
4.5 -0.490892
5 -0.495135
5.5 -0.497114
6 -0.498023
6.5 -0.498434
7 -0.498616
7.5 -0.498696
8 -0.498731
8.5 -0.498746
9 -0.498752
9.5 -0.498754
10 -0.498755
10.5 -0.498756
11 -0.498756
11.5 -0.498756
12 -0.498756
12.5 -0.498756
13 -0.498756
13.5 -0.498756
14 -0.498756
14.5 -0.498756
15 -0.498756
15.5 -0.498756
16 -0.498756
16.5 -0.498756
17 -0.498756
17.5 -0.498756
18 -0.498756
18.5 -0.498756
19 -0.498756
19.5 -0.498756
20 -0.498756
