0.1 9.51351
0.15 6.22027
0.2 4.59084
0.25 3.62561
0.3 2.99157
0.35 2.54615
0.4 2.21816
0.45 1.96814
0.5 1.77245
0.55 1.61612
0.6 1.48919
0.65 1.3848
0.7 1.29806
0.75 1.22542
0.8 1.16423
0.85 1.11248
0.9 1.06863
0.95 1.03145
1 1
1.05 0.973504
1.1 0.951351
1.15 0.933041
1.2 0.918169
1.25 0.906402
1.3 0.897471
1.35 0.891151
1.4 0.887264
1.45 0.885661
1.5 0.886227
1.55 0.888868
1.6 0.893515
1.65 0.900117
1.7 0.908639
1.75 0.919063
1.8 0.931384
1.85 0.945611
1.9 0.961766
1.95 0.979881
2 1
2.05 1.02218
2.1 1.04649
2.15 1.073
2.2 1.1018
2.25 1.133
2.3 1.16671
2.35 1.20305
2.4 1.24217
2.45 1.28421
2.5 1.32934
2.55 1.37775
2.6 1.42962
2.65 1.48519
2.7 1.54469
2.75 1.60836
2.8 1.67649
2.85 1.74938
2.9 1.82736
2.95 1.91077
3 2
3.05 2.09547
3.1 2.19762
3.15 2.30694
3.2 2.42397
3.25 2.54926
3.3 2.68344
3.35 2.82718
3.4 2.98121
3.45 3.14631
3.5 3.32335
3.55 3.51325
3.6 3.71702
3.65 3.93576
3.7 4.17065
3.75 4.42299
3.8 4.69417
3.85 4.98573
3.9 5.29933
3.95 5.63676
4 6
4.05 6.39118
4.1 6.81262
4.15 7.26687
4.2 7.75669
4.25 8.28509
4.3 8.85534
4.35 9.47105
4.4 10.1361
4.45 10.8548
4.5 11.6317
4.55 12.472
4.6 13.3813
4.65 14.3655
4.7 15.4314
4.75 16.5862
4.8 17.8379
4.85 19.1951
4.9 20.6674
4.95 22.2652
5 24
5.05 25.8843
5.1 27.9318
5.15 30.1575
5.2 32.5781
5.25 35.2116
5.3 38.078
5.35 41.1991
5.4 44.5988
5.45 48.3038
5.5 52.3428
5.55 56.7478
5.6 61.5539
5.65 66.7997
5.7 72.5276
5.75 78.7845
5.8 85.6217
5.85 93.0961
5.9 101.27
5.95 110.213
6 120
